INFO(chunker_countsort_laszip.cpp:176): counting 000284.las, first point: 0, num points: 126'926
INFO(chunker_countsort_laszip.cpp:176): counting 000298.las, first point: 0, num points: 127'448
INFO(chunker_countsort_laszip.cpp:176): counting 000306.las, first point: 0, num points: 127'499
INFO(chunker_countsort_laszip.cpp:176): counting 000290.las, first point: 0, num points: 127'079
INFO(chunker_countsort_laszip.cpp:176): counting 000272.las, first point: 0, num points: 127'113
INFO(chunker_countsort_laszip.cpp:176): counting 000299.las, first point: 0, num points: 127'372
INFO(chunker_countsort_laszip.cpp:176): counting 000315.las, first point: 0, num points: 127'603
INFO(chunker_countsort_laszip.cpp:176): counting 000302.las, first point: 0, num points: 127'480
INFO(chunker_countsort_laszip.cpp:176): counting 000312.las, first point: 0, num points: 127'693
INFO(chunker_countsort_laszip.cpp:176): counting 000304.las, first point: 0, num points: 127'417
INFO(chunker_countsort_laszip.cpp:176): counting 000296.las, first point: 0, num points: 127'466
INFO(chunker_countsort_laszip.cpp:176): counting 000307.las, first point: 0, num points: 127'494
INFO(chunker_countsort_laszip.cpp:176): counting 000309.las, first point: 0, num points: 127'507
INFO(chunker_countsort_laszip.cpp:176): counting 000324.las, first point: 0, num points: 126'534
INFO(chunker_countsort_laszip.cpp:176): counting 000305.las, first point: 0, num points: 127'407
INFO(chunker_countsort_laszip.cpp:176): counting 000316.las, first point: 0, num points: 127'455
INFO(chunker_countsort_laszip.cpp:176): counting 000321.las, first point: 0, num points: 127'191
INFO(chunker_countsort_laszip.cpp:176): counting 000318.las, first point: 0, num points: 127'120
INFO(chunker_countsort_laszip.cpp:176): counting 000325.las, first point: 0, num points: 126'335
INFO(chunker_countsort_laszip.cpp:176): counting 000310.las, first point: 0, num points: 127'490
INFO(chunker_countsort_laszip.cpp:176): counting 000308.las, first point: 0, num points: 127'542
